anime,votes,votes_weight,genres,rate_1_stars,rate_1_stars,rate_2_stars,rate_3_stars,rate_4_stars,rate_5_stars,rate
Yu-Gi-Oh! VRAINS,58,242,"shonen,sci-fi,action",9,9,1,3,3,42,4.17
Gargantia on the Verdurous Planet,316,1445,"action,adventure,mecha,fantasy,sci-fi,drama",2,2,4,25,65,220,4.57
Hinako Note,29,114,"comedy,slice of life",0,0,3,5,12,9,3.93
Mischievous Kiss - Love in Tokyo,73,329,,2,2,1,4,17,49,4.51
Yona of the Dawn,486,2327,"fantasy,adventure,shojo,romance,supernatural",3,3,4,14,51,414,4.79
Canvas 2: Niji Iro no Sketch,235,1077,harem,8,8,1,10,43,173,4.58
Kamisama Hajimemashita,49,240,"comedy,romance,supernatural",0,0,0,1,3,45,4.9
The Dragon Lives,0,0,"martial arts,action",0,0,0,0,0,0,0.0
KING OF PRISM -Shiny Seven Stars-,11,46,"music,sports,idols",2,2,0,0,1,8,4.18
Yurumates3Dei,55,239,"slice of life,comedy",0,0,4,8,8,35,4.35
SENGOKU NIGHT BLOOD,59,171,"shojo,action,fantasy,thriller,isekai,romance,harem,supernatural,historical",19,19,6,8,14,12,2.9
"Diabolik Lovers II MORE,BLOOD",52,184,"romance,supernatural,drama,harem",10,10,3,11,5,23,3.54
ZOMBIE LAND SAGA,181,815,"comedy,music,supernatural,idols,drama",6,6,8,6,30,131,4.5
Yamishibai,94,412,"supernatural,thriller,mystery",2,2,4,4,30,54,4.38
Kaasan Mom's Life,1201,5634,"comedy,slice of life",33,33,8,37,141,982,4.69
K,3,15,,0,0,0,0,0,3,5.0
Trickster,34,111,,4,4,8,6,7,9,3.26
"WATAMOTE ~No Matter How I Look at It, It’s You Guys Fault I’m Not Popular!~",220,972,"comedy,slice of life,shonen",8,8,11,10,43,148,4.42
Kakuriyo -Bed & Breakfast for Spirits-,102,495,"drama,supernatural,romance",0,0,0,3,9,90,4.85
Jubei-chan: The Ninja Girl,8,28,"action,adventure,drama,comedy,shonen",1,1,1,2,1,3,3.5
KIZNAIVER,219,913,"drama,romance,sci-fi",9,9,16,22,54,118,4.17
Ghost Slayers Ayashi,7,31,"adventure,drama,supernatural,historical",0,0,0,0,4,3,4.43
DYNAMIC CHORD,2,2,"music,idols",2,2,0,0,0,0,1.0
Demon Slayer: Kimetsu no Yaiba,816,3976,"action,supernatural,drama",3,3,7,18,35,753,4.87
Koro Sensei Quest!,12,51,"comedy,fantasy,shonen",1,1,0,2,1,8,4.25
Samurai Warriors,18,68,"action,historical,fantasy",0,0,3,4,5,6,3.78
Hero,19,92,,0,0,0,0,3,16,4.84
EAT-MAN,4,11,"sci-fi,action,adventure",0,0,3,0,0,1,2.75
Wolf Girl and Black Prince,170,671,"romance,shojo,comedy,slice of life",12,12,22,12,41,83,3.95
Code: Realize ~Guardian of Rebirth~,26,97,"romance,mystery,harem",1,1,5,4,6,10,3.73
Norn9,5,14,"sci-fi,action,adventure,historical",2,2,1,0,0,2,2.8
Captain Earth,53,181,"mecha,sci-fi,action,romance",5,5,10,11,12,15,3.42
Yu-Gi-Oh! ARC-V,23,106,"shonen,adventure,supernatural,fantasy",0,0,0,3,3,17,4.61
Angel's 3Piece!,25,93,"slice of life,comedy,music",2,2,2,6,6,9,3.72
We Rent Tsukumogami,10,50,"fantasy,drama,romance,supernatural,historical",0,0,0,0,0,10,5.0
Death March to the Parallel World Rhapsody,358,1350,"adventure,slice of life,fantasy,romance,harem,isekai",40,40,45,41,63,169,3.77
Myriad Colors Phantom World,120,466,"fantasy,slice of life",7,7,12,18,34,49,3.88
Nyarko-san: Another Crawling Chaos,364,1628,"comedy,romance",16,16,8,28,48,264,4.47
Joshi Kausei,36,117,"slice of life,comedy",6,6,5,7,10,8,3.25
Psybuster,0,0,"adventure,sci-fi,mecha,shonen,post-apocalyptic,mystery",0,0,0,0,0,0,0.0
Battle Girls - Time Paradox,649,2969,historical,10,10,6,42,134,457,4.57
Hitori No Shita - The Outcast,87,340,"action,supernatural",9,9,6,12,17,43,3.91
Mischievous Kiss - The Movie,0,0,romance,0,0,0,0,0,0,0.0
Bananya,66,301,"comedy,slice of life",3,3,2,2,7,52,4.56
My Love Story!!,388,1892,"drama,romance,comedy,slice of life",1,1,1,9,23,354,4.88
Ultraman Nexus,6,21,,2,2,0,0,1,3,3.5
Sakura Trick,76,340,"romance,comedy,slice of life",1,1,5,3,15,52,4.47
Starmyu,11,48,"music,comedy,slice of life,idols",1,1,0,0,3,7,4.36
Million Doll,7,17,"music,idols",1,1,3,2,1,0,2.43
Walkure Romanze,53,178,"romance,harem,sports,action,drama",5,5,12,11,9,16,3.36
The Twelve Kingdoms,20,97,"fantasy,adventure,historical,isekai",0,0,0,1,1,18,4.85
BONO BONO,12,59,"comedy,slice of life",0,0,0,0,1,11,4.92
Brave Beats,7,31,"sci-fi,music",0,0,1,0,1,5,4.43
Yu-Gi-Oh! GX,24,103,"shonen,supernatural,action,fantasy,adventure",3,3,0,1,3,17,4.29
Humanity Has Declined,93,412,comedy,3,3,3,4,24,59,4.43
PERSONA5 the Animation,89,351,"thriller,supernatural,mystery,action",7,7,8,12,18,44,3.94
Welcome to Demon School! Iruma-kun,156,746,"comedy,supernatural",2,2,2,5,10,137,4.78
Diabolik Lovers,516,1540,"romance,supernatural,drama,harem",169,169,58,60,70,159,2.98
ASSASSINS PRIDE,178,565,"fantasy,action",43,43,22,29,29,55,3.17
Lilpri,1323,6342,"music,comedy,fantasy",14,14,3,36,136,1134,4.79
Forget Me Not,3,14,romance,0,0,0,0,1,2,4.67
Mononoke,48,232,"supernatural,action,thriller,mystery",0,0,1,0,5,42,4.83
Muromi-san,29,136,"fantasy,comedy,adventure",0,0,1,1,4,23,4.69
Pop Team Epic,108,423,"comedy,action",20,20,4,6,13,65,3.92
Phantasy Star Online 2 The Animation,58,198,"fantasy,sci-fi,action,adventure",8,8,9,11,11,19,3.41
REBORN!,12542,61262,,114,114,47,132,587,11662,4.88
Naked Wolves,85,221,"sports,comedy",44,44,2,9,4,26,2.6
Chiruran 1/2,2,7,"comedy,slice of life",0,0,0,1,1,0,3.5
Dog & Scissors,91,358,"comedy,supernatural",7,7,8,14,17,45,3.93
The Helpful Fox Senko-san,72,347,"slice of life,supernatural,comedy",1,1,1,1,4,65,4.82
Donyatsu,15,65,"comedy,post-apocalyptic",1,1,1,0,3,10,4.33
Robot Carnival,2,10,"sci-fi,fantasy,drama,post-apocalyptic",0,0,0,0,0,2,5.0
DAKAICHI -I'm being harassed by the sexiest man of the year-,93,399,romance,12,12,3,2,5,71,4.29
HaNaYaMaTa,57,261,"slice of life,comedy,seinen",1,1,0,4,12,40,4.58
Aooni The Blue Monster,22,70,"comedy,thriller,supernatural",4,4,4,4,4,6,3.18
The Rising of the Shield Hero,1401,6613,"fantasy,action,adventure,isekai,drama,seinen",36,36,27,41,85,1212,4.72
This Boy is a Professional Wizard,39,173,"fantasy,romance,adventure",0,0,0,5,12,22,4.44
Space Warrior Baldios,0,0,"action,adventure,sci-fi,drama,mecha,post-apocalyptic",0,0,0,0,0,0,0.0
Blue Submarine No. 6,17,59,"action,sci-fi,drama",3,3,1,3,5,5,3.47
SNACK WORLD,1,2,,0,0,1,0,0,0,2.0
A Destructive God Sits Next to Me,25,88,"comedy,slice of life",5,5,2,4,3,11,3.52
Sanrio Boys,37,163,"comedy,shojo,slice of life",0,0,2,5,6,24,4.41
White Album,348,1496,"drama,harem,music,romance,seinen",23,23,11,27,65,222,4.3
DEVIL SURVIVOR 2 THE ANIMATION,70,267,"action,supernatural",4,4,8,14,15,29,3.81
TERRAFORMARS,296,980,"sci-fi,thriller,action,seinen",74,74,30,36,42,114,3.31
Darwin's Game,31,151,,0,0,0,1,2,28,4.87
MOBILE SUIT GUNDAM 00,37,174,"mecha,action,sci-fi",0,0,0,3,5,29,4.7
Akame ga Kill!,767,3276,"action,adventure,fantasy,drama",38,38,39,68,154,468,4.27
Eureka Seven,30,146,"sci-fi,adventure,drama,romance,mecha",0,0,0,1,2,27,4.87
Million Arthur,9,27,"fantasy,adventure",1,1,4,1,0,3,3.0
Chihayafuru,1050,5071,,9,9,4,21,89,927,4.83
Onimusha: Dawn of Dreams,5,8,"action,fantasy,supernatural,historical",3,3,1,1,0,0,1.6
Toriko,50,221,"adventure,fantasy,shonen",1,1,4,3,7,35,4.42
Lovely Muuuuuuuco!,45,184,"slice of life,comedy",6,6,2,0,11,26,4.09
Familiar of Zero F,448,2063,"adventure,fantasy,comedy,drama,romance,harem,isekai",12,12,5,19,76,336,4.6
Bloodivores,94,227,"action,supernatural",42,42,11,13,16,12,2.41
Nisekoi,293,1253,"slice of life,comedy,romance,shonen",12,12,14,31,60,176,4.28
Zapuni,7,34,,0,0,0,0,1,6,4.86
NG Knight Lamune & 40,1,5,"adventure,fantasy,comedy,isekai,romance",0,0,0,0,0,1,5.0
Time of Eve,3864,18819,,24,24,9,42,294,3495,4.87
Komori-san Can't Decline!,36,120,"slice of life,comedy",3,3,4,14,8,7,3.33
ACCA: 13-Territory Inspection Dept.,63,292,"adventure,drama,thriller,sci-fi,mystery",0,0,2,3,11,47,4.63
The Master of Ragnarok & Blesser of Einherjar,217,500,"fantasy,adventure,harem,isekai",99,99,36,30,21,31,2.3
FOREST FAIRY FIVE,20,44,fantasy,12,12,1,2,1,4,2.2
The Irresponsible Galaxy Tylor,18,26,"comedy,sci-fi,adventure",14,14,1,2,1,0,1.44
Angel Beats,521,2441,"action,comedy,drama,fantasy,romance",4,4,7,26,75,409,4.69
Love Live! Sunshine!!,45,206,"music,slice of life,comedy,drama,idols",0,0,1,3,10,31,4.58
Room Mate,36,92,"romance,slice of life,harem",13,13,5,9,3,6,2.56
Tegami Bachi Letter Bee,3593,17363,"drama,slice of life,supernatural",6,6,11,75,395,3106,4.83
Nyanko Days,34,149,"comedy,slice of life",1,1,1,4,6,22,4.38
Hyakko,956,4491,comedy,22,22,9,25,124,776,4.7
Mobile Suit Gundam Seed,30,124,"mecha,action,sci-fi",3,3,1,4,3,19,4.13
Makeruna!! Aku no Gundan!,3,12,"comedy,sci-fi,shonen",0,0,1,0,0,2,4.0
Tribe Cool Crew,15,64,"sports,comedy,action,slice of life",1,1,0,1,5,8,4.27
Gankutsuou,741,3516,,11,11,10,17,81,622,4.74
Otome Yokai Zakuro,1326,6331,"action,historical,romance",5,5,2,40,193,1086,4.77
Interviews with Monster Girls,149,695,"comedy,slice of life,seinen,supernatural",1,1,1,8,27,112,4.66
Os Cavaleiros do Zodíaco - Saga de Hades,13,59,,0,0,1,1,1,10,4.54
Kids on the Slope,465,2271,,1,1,3,5,31,425,4.88
Another,1858,8745,mystery,21,21,16,64,285,1472,4.71
Katsugeki TOUKEN RANBU,37,141,"action,fantasy,historical",3,3,8,3,2,21,3.81
Mahou Shoujo? Naria Girls,20,51,"comedy,fantasy,shojo",10,10,0,3,3,4,2.55
Fate/Grand Order -MOONLIGHT/LOSTROOM-,4,20,fantasy,0,0,0,0,0,4,5.0
Are You Lost?,51,199,comedy,3,3,4,9,14,21,3.9
Hand Shakers,98,272,"action,sci-fi",37,37,12,10,14,25,2.78
Luck & Logic,2,9,"action,fantasy,sci-fi",0,0,0,0,1,1,4.5
Monogatari S2,56,274,"comedy,supernatural,drama,action,harem,fantasy,thriller",0,0,1,0,3,52,4.89
Crossing Time,14,54,"romance,comedy,slice of life",1,1,0,3,6,4,3.86
MEGANEBU!,36,131,"comedy,slice of life",2,2,7,6,8,13,3.64
SHIROBAKO,111,538,,0,0,0,2,13,96,4.85
BLEACH,23897,115433,,391,391,98,370,1454,21584,4.83
Hina Logic - from Luck & Logic,10,43,"comedy,fantasy,action",0,0,0,2,3,5,4.3
Rio Rainbow Gate,541,2408,,24,24,12,32,101,372,4.45
RWBY,760,3065,,82,82,58,49,135,436,4.03
Sparrow's Hotel,33,105,"comedy,seinen,action,slice of life",8,8,3,4,11,7,3.18
Future Diary: Another World,24,97,,3,3,1,2,4,14,4.04
Aoharu x Machinegun,86,383,"action,comedy,drama",2,2,3,8,14,59,4.45
Sarazanmai,77,342,"drama,supernatural,thriller,mystery",6,6,2,3,7,59,4.44
Hana Yori Dango (Boys Over Flowers),6,24,"shojo,romance",0,0,1,1,1,3,4.0
Chrono Crusade,9,38,"action,fantasy,adventure,supernatural,romance,drama",0,0,0,1,5,3,4.22
CARDFIGHT!! VANGUARD,4,20,action,0,0,0,0,0,4,5.0
Run with the Wind,167,826,"sports,drama,shonen,slice of life",0,0,0,1,7,159,4.95
Beyond the Boundary,255,1109,"supernatural,fantasy,drama,comedy",7,7,9,26,59,154,4.35
Shugo Chara,33688,163641,,503,503,104,438,1599,31044,4.86
Toward the Terra,3,14,"sci-fi,drama,supernatural,post-apocalyptic,shonen",0,0,0,0,1,2,4.67
GATE,479,2076,"action,fantasy,adventure,seinen",20,20,29,39,74,317,4.33
Kaiba,12,60,"adventure,sci-fi,drama,fantasy,romance",0,0,0,0,0,12,5.0
Sunday Without God,148,657,"adventure,fantasy,drama,mystery,post-apocalyptic,supernatural",2,2,5,17,26,98,4.44
Rewrite,56,197,"romance,fantasy,action,drama",7,7,7,9,16,17,3.52
MYSTERIA Friends,57,203,"fantasy,slice of life",6,6,11,7,11,22,3.56
DOUBLE DECKER! DOUG & KIRILL,32,137,"action,seinen,drama,sci-fi",0,0,2,3,11,16,4.28
Persona4 the Golden ANIMATION,63,236,"mystery,drama,action,slice of life,thriller,supernatural",5,5,8,8,19,23,3.75
Gintama,11435,55745,,133,133,47,124,509,10622,4.87
The Silver Guardian,93,270,"action,fantasy,sci-fi,isekai,supernatural",28,28,19,10,6,30,2.9
Wise Man's Grandchild,267,975,"fantasy,adventure,isekai,romance,seinen",39,39,38,30,30,130,3.65
Unico In the Island of Magic,4,18,"fantasy,comedy,drama",0,0,0,1,0,3,4.5
Ultraman Gaia,6,28,,0,0,0,1,0,5,4.67
Fate/Zero,1097,5254,,12,12,8,25,109,943,4.79
The Morose Mononokean,59,260,"comedy,slice of life,supernatural,drama",0,0,2,6,17,34,4.41
Yu-Gi-Oh!,45,191,"shonen,supernatural,action,adventure,fantasy",3,3,2,4,8,28,4.24
Air Master,973,4382,seinen,42,42,9,70,148,704,4.5
Fantastic Adventures of Unico,3,12,"adventure,fantasy",0,0,0,1,1,1,4.0
Beyblade: Metal Fusion,2,10,"adventure,action,sports",0,0,0,0,0,2,5.0
